time_ms,neuron_id
6227,23
6254,23
7192,23
7225,23
7240,23
7256,23
7272,23
7289,23
7307,23
7325,23
7344,23
7363,23
7383,23
7404,23
7425,23
7446,23
7468,23
7491,23
7514,23
7537,23
7561,23
7585,23
7609,23
7634,23
7659,23
7684,23
7709,23
7735,23
7761,23
7787,23
7813,23
7839,23
7865,23
7891,23
7918,23
7944,23
7971,23
7997,23
8024,23
8050,23
8077,23
8104,23
8130,23
9069,23
9101,23
9116,23
9132,23
9149,23
9166,23
9183,23
9202,23
9220,23
9240,23
9260,23
9280,23
9301,23
9323,23
9345,23
9367,23
9390,23
9413,23
9437,23
9461,23
9486,23
9510,23
9535,23
9561,23
9586,23
9612,23
9637,23
9663,23
9689,23
9715,23
9741,23
9768,23
9794,23
9821,23
9847,23
9874,23
9900,23
9927,23
9953,23
9980,23
10007,23
636,123
668,123
683,123
698,123
714,123
731,123
748,123
765,123
784,123
803,123
822,123
842,123
862,123
884,123
905,123
927,123
950,123
973,123
996,123
1020,123
1044,123
1068,123
1093,123
1118,123
1143,123
1169,123
1194,123
1220,123
1246,123
1272,123
1298,123
1324,123
1350,123
1377,123
1403,123
1430,123
1456,123
1483,123
1510,123
1536,123
1563,123
2501,123
2534,123
2549,123
2565,123
2581,123
2598,123
2616,123
2634,123
2653,123
2672,123
2692,123
2713,123
2734,123
2755,123
2777,123
2800,123
2823,123
2846,123
2870,123
2894,123
2918,123
2943,123
2968,123
2993,123
3019,123
3044,123
3070,123
3096,123
3122,123
3148,123
3174,123
3200,123
3227,123
3253,123
3280,123
3306,123
3333,123
3359,123
3386,123
3413,123
3440,123
4378,123
4410,123
4426,123
4441,123
4458,123
4475,123
4493,123
4511,123
4530,123
4549,123
4569,123
4589,123
4610,123
4632,123
4654,123
4676,123
4699,123
4723,123
4746,123
4771,123
4795,123
4820,123
4845,123
4870,123
4895,123
4921,123
4946,123
4972,123
4998,123
5024,123
5051,123
5077,123
5103,123
5130,123
5156,123
5183,123
5209,123
5236,123
5263,123
5289,123
5316,123
6254,123
6287,123
6302,123
6318,123
6334,123
6351,123
6369,123
6387,123
6406,123
6425,123
6445,123
6466,123
6487,123
6508,123
6530,123
6553,123
6576,123
6599,123
6623,123
6647,123
6671,123
6696,123
6721,123
6746,123
6771,123
6797,123
6823,123
6849,123
6875,123
6901,123
6927,123
6953,123
6980,123
7006,123
7033,123
7059,123
7086,123
7112,123
7139,123
7166,123
7192,123
8130,123
8163,123
8178,123
8194,123
8211,123
8228,123
8245,123
8263,123
8282,123
8302,123
8321,123
8342,123
8363,123
8384,123
8406,123
8429,123
8452,123
8475,123
8499,123
8523,123
8547,123
8572,123
8597,123
8622,123
8648,123
8673,123
